目标,延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
162.159.45.19:443,43.94,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.45.170:443,44.01,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.44.130:443,44.03,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.45.46:443,44.04,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.44.101:443,44.15,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.44.89:443,44.26,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.39.206:443,44.65,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.44.148:443,44.81,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.39.219:443,45.00,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.39.236:443,45.83,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.38.1:443,46.26,0.00,0.00,UN,未知·UN,Cloudflare,
172.245.59.154:443,46.40,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.38.41:443,47.34,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.38.9:443,47.36,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.39.90:443,47.41,0.00,0.00,UN,未知·UN,Cloudflare,
172.245.59.131:443,48.64,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.44.57:443,49.69,0.00,0.00,UN,未知·UN,Cloudflare,
31.44.5.64:443,49.78,0.00,0.00,UN,未知·UN,Cloudflare,
172.245.59.231:443,50.29,0.00,0.00,UN,未知·UN,Cloudflare,
162.159.39.86:443,54.30,0.00,0.00,UN,未知·UN,Cloudflare,
216.40.85.198:443,88.08,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.92.60:443,88.48,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.233.231:443,90.14,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.92.82:443,90.30,0.00,0.00,UN,未知·UN,Cloudflare,
216.40.85.108:443,90.40,0.00,0.00,UN,未知·UN,Cloudflare,
216.40.85.116:443,90.99,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.192.122:443,91.32,0.00,0.00,UN,未知·UN,Cloudflare,
91.149.239.230:443,91.52,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.87.82:443,91.91,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.87.222:443,91.93,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.87.39:443,92.04,0.00,0.00,UN,未知·UN,Cloudflare,
192.243.119.43:443,92.05,0.00,0.00,UN,未知·UN,Cloudflare,
23.27.244.220:443,92.23,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.92.50:443,92.58,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.233.100:443,92.94,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.233.59:443,93.02,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.192.171:443,93.17,0.00,0.00,UN,未知·UN,Cloudflare,
172.82.16.143:443,93.84,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.87.70:443,94.38,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.254:443,94.67,0.00,0.00,UN,未知·UN,Cloudflare,
154.21.87.203:443,94.68,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.233.223:443,94.72,0.00,0.00,UN,未知·UN,Cloudflare,
148.135.68.132:443,94.72,0.00,0.00,UN,未知·UN,Cloudflare,
148.135.68.46:443,94.77,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.145:443,94.97,0.00,0.00,UN,未知·UN,Cloudflare,
148.135.68.166:443,95.29,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.233.186:443,95.35,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.192.112:443,95.48,0.00,0.00,UN,未知·UN,Cloudflare,
192.9.228.69:443,95.89,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.241:443,96.42,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.192.152:443,97.82,0.00,0.00,UN,未知·UN,Cloudflare,
38.59.241.28:443,98.11,0.00,0.00,UN,未知·UN,Cloudflare,
38.247.8.49:443,98.17,0.00,0.00,UN,未知·UN,Cloudflare,
91.149.239.142:443,98.31,0.00,0.00,UN,未知·UN,Cloudflare,
107.174.242.7:443,98.34,0.00,0.00,UN,未知·UN,Cloudflare,
185.148.15.166:443,98.54,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.229:443,98.73,0.00,0.00,UN,未知·UN,Cloudflare,
107.174.242.143:443,98.82,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.251:443,99.18,0.00,0.00,UN,未知·UN,Cloudflare,
38.247.8.110:443,99.62,0.00,0.00,UN,未知·UN,Cloudflare,
142.171.220.250:443,99.62,0.00,0.00,UN,未知·UN,Cloudflare,
38.247.8.41:443,99.69,0.00,0.00,UN,未知·UN,Cloudflare,
